model,invalid_rate,valid_items,inval_items,avg_k,fcgi_valid,fcgi_global,comp_S,comp_A,comp_U,comp_L,comp_O,comp_F,comp_C,comp_D
gpt-4o,0.17841982746816376,6000,1303,2.941333333333,0.996744015324,0.863364843891,1.0,1.0,1.0,1.0,0.9873333333333333,0.993,1.0,0.9965582222222222
gpt-5-nano,0.32227997849076895,3781,1798,2.875429780481,0.98578705043,0.747512478373,1.0,1.0,1.0,1.0,0.9312351229833378,1.0,1.0,0.9844822604090764
