model,invalid_rate,valid_items,inval_items,avg_k,fcgi_valid,fcgi_global,comp_S,comp_A,comp_U,comp_L,comp_O,comp_F,comp_C,comp_D,fcgi_gap,fcgi_gap_plot,fcgi_dpm,fcgi_log
gpt-gpt-5-nano-2025-08-07_exp1,0.2644273896142729,7380,2653,2.879403794038,0.986488234194,0.790847352704,1.0,1.0,1.0,1.0,0.9318428184281843,1.0,1.0,0.9854565551075565,0.20915264729600003,0.20915264729600003,209152.64729600004,0.6795366340775241
gpt-gpt-5-mini_exp1,0.49177330895795246,6116,5918,2.829300196207,0.994017535721,0.627394066193,1.0,1.0,1.0,1.0,0.9810333551340745,0.9947678221059516,0.9988554610856769,0.9708615769849189,0.372605933807,0.372605933807,372605.933807,0.42875023317805594
gpt-4o_exp1,0.1331304347826087,9969,1531,2.954860066205,0.998880404333,0.89914436744,1.0,1.0,1.0,1.0,0.9952853846925469,0.9964891162604073,0.9993981342160698,0.9979623863770044,0.10085563255999996,0.10085563255999996,100855.63255999997,0.9962998424049232
gpt-5.1-2025-11-13_exp1,0.26480801666832027,7410,2669,2.968690958165,0.995408057683,0.797714032535,1.0,1.0,1.0,1.0,0.9739541160593792,0.9991902834008097,1.0,0.9990197438993518,0.20228596746500005,0.20228596746500005,202285.96746500005,0.6940342431011242
GigaChat-Pro_exp1,0.37035937035937033,6360,3741,2.947955974843,0.997570495421,0.720475809991,1.0,1.0,1.0,1.0,0.9900943396226415,0.9889937106918238,0.9966981132075472,0.9972914194454333,0.279524190009,0.279524190009,279524.19000899995,0.5535806023291276
